land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
218,Dinoland U.S.A,111,DINOSAUR,False,0,2025-01-28T09:56:08.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T09:56:08.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,False,0,2025-01-28T09:56:08.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T09:56:08.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,False,0,2025-01-28T09:56:08.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,False,0,2025-01-28T09:56:08.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,False,0,2025-01-28T09:56:08.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T09:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,False,0,2025-01-28T09:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,False,0,2025-01-28T09:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T09:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T09:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T09:56:08.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T09:56:08.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T09:56:08.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T10:56:08.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,False,0,2025-01-28T10:56:08.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,False,0,2025-01-28T10:56:08.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,False,0,2025-01-28T10:56:08.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,False,0,2025-01-28T10:56:08.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T10:56:08.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T10:56:08.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T10:56:08.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,False,0,2025-01-28T10:56:08.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T10:56:08.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,False,0,2025-01-28T10:56:08.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T10:56:08.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,False,0,2025-01-28T10:56:08.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,False,0,2025-01-28T10:56:08.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,False,0,2025-01-28T10:56:08.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T10:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,False,0,2025-01-28T10:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,False,0,2025-01-28T10:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T10:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T10:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T10:56:08.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T10:56:08.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T10:56:08.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T12:56:18.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,False,0,2025-01-28T12:56:18.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,False,0,2025-01-28T12:56:18.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,False,0,2025-01-28T12:56:18.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,10,2025-01-28T12:56:18.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T12:56:18.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T12:56:18.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T12:56:18.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,5,2025-01-28T12:56:18.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T12:56:18.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,False,0,2025-01-28T12:56:18.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T12:56:18.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T12:56:18.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,False,0,2025-01-28T12:56:18.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,False,0,2025-01-28T12:56:18.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T12:56:18.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,60,2025-01-28T12:56:18.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,15,2025-01-28T12:56:18.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T12:56:18.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T12:56:18.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T12:56:18.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T12:56:18.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T12:56:18.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T13:56:14.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T13:56:14.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,25,2025-01-28T13:56:14.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,False,0,2025-01-28T13:56:14.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,10,2025-01-28T13:56:14.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T13:56:14.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T13:56:14.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T13:56:14.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,5,2025-01-28T13:56:14.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T13:56:14.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,False,0,2025-01-28T13:56:14.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T13:56:14.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T13:56:14.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,25,2025-01-28T13:56:14.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T13:56:14.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T13:56:14.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,80,2025-01-28T13:56:14.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,35,2025-01-28T13:56:14.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T13:56:14.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T13:56:14.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T13:56:14.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T13:56:14.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T13:56:14.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T14:56:06.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T14:56:06.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,50,2025-01-28T14:56:06.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T14:56:06.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,20,2025-01-28T14:56:06.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T14:56:06.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T14:56:06.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T14:56:06.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,15,2025-01-28T14:56:06.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T14:56:06.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T14:56:06.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T14:56:06.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T14:56:06.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,30,2025-01-28T14:56:06.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T14:56:06.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T14:56:06.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,55,2025-01-28T14:56:06.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,50,2025-01-28T14:56:06.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T14:56:06.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T14:56:06.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T14:56:06.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T14:56:06.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T14:56:06.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T15:56:17.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T15:56:17.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,70,2025-01-28T15:56:17.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T15:56:17.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,40,2025-01-28T15:56:17.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T15:56:17.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T15:56:17.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T15:56:17.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,20,2025-01-28T15:56:17.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T15:56:17.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T15:56:17.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T15:56:17.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T15:56:17.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,20,2025-01-28T15:56:17.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T15:56:17.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T15:56:17.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,85,2025-01-28T15:56:17.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,50,2025-01-28T15:56:17.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T15:56:17.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T15:56:17.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T15:56:17.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T15:56:17.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T15:56:17.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T16:57:00.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T16:57:00.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,60,2025-01-28T16:57:00.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T16:57:00.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,40,2025-01-28T16:57:00.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T16:57:00.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T16:57:00.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T16:57:00.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,25,2025-01-28T16:57:00.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T16:57:00.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T16:57:00.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T16:57:00.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T16:57:00.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,15,2025-01-28T16:57:00.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T16:57:00.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T16:57:00.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,65,2025-01-28T16:57:00.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,50,2025-01-28T16:57:00.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T16:57:00.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T16:57:00.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T16:57:00.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T16:57:00.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T16:57:00.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T17:56:08.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T17:56:08.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,45,2025-01-28T17:56:08.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T17:56:08.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,25,2025-01-28T17:56:08.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T17:56:08.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T17:56:08.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T17:56:08.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,25,2025-01-28T17:56:08.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T17:56:08.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T17:56:08.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T17:56:08.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T17:56:08.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,35,2025-01-28T17:56:08.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,False,0,2025-01-28T17:56:08.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T17:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,50,2025-01-28T17:56:08.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,50,2025-01-28T17:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T17:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T17:56:08.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T17:56:08.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T17:56:08.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T17:56:08.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T18:56:07.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T18:56:07.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,30,2025-01-28T18:56:07.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T18:56:07.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,25,2025-01-28T18:56:07.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T18:56:07.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T18:56:07.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T18:56:07.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,20,2025-01-28T18:56:07.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T18:56:07.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T18:56:07.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T18:56:07.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T18:56:07.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,50,2025-01-28T18:56:07.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T18:56:07.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T18:56:07.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,65,2025-01-28T18:56:07.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,45,2025-01-28T18:56:07.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T18:56:07.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T18:56:07.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T18:56:07.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T18:56:07.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T18:56:07.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T19:56:15.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T19:56:15.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,30,2025-01-28T19:56:15.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T19:56:15.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,30,2025-01-28T19:56:15.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T19:56:15.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T19:56:15.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T19:56:15.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,10,2025-01-28T19:56:15.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T19:56:15.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T19:56:15.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T19:56:15.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T19:56:15.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,30,2025-01-28T19:56:15.000Z,animalkingdom
219,Discovery Island,12451,Meet Moana at Character Landing,True,0,2025-01-28T19:56:15.000Z,animalkingdom
219,Discovery Island,13751,Tree of Life,True,0,2025-01-28T19:56:15.000Z,animalkingdom
221,Pandora - The World of Avatar,4439,Avatar Flight of Passage,True,55,2025-01-28T19:56:15.000Z,animalkingdom
221,Pandora - The World of Avatar,4438,Na'vi River Journey,True,50,2025-01-28T19:56:15.000Z,animalkingdom
222,Rafiki's Planet Watch,13807,Affection Section,True,0,2025-01-28T19:56:15.000Z,animalkingdom
222,Rafiki's Planet Watch,13806,Conservation Station,True,0,2025-01-28T19:56:15.000Z,animalkingdom
222,Rafiki's Planet Watch,6680,The Animation Experience at Conservation Station,True,0,2025-01-28T19:56:15.000Z,animalkingdom
220,The Oasis,13812,The Oasis Exhibits,True,0,2025-01-28T19:56:15.000Z,animalkingdom
220,The Oasis,13808,Wilderness Explorers,True,0,2025-01-28T19:56:15.000Z,animalkingdom
land_id,land_name,ride_id,ride_name,is_open,wait_time,last_update,park_name
216,Africa,657,Festival of the Lion King,True,0,2025-01-28T20:56:35.000Z,animalkingdom
216,Africa,651,Gorilla Falls Exploration Trail,True,0,2025-01-28T20:56:35.000Z,animalkingdom
216,Africa,113,Kilimanjaro Safaris,True,10,2025-01-28T20:56:35.000Z,animalkingdom
216,Africa,655,Wildlife Express Train,True,0,2025-01-28T20:56:35.000Z,animalkingdom
217,Asia,110,Expedition Everest - Legend of the Forbidden Mountain,True,20,2025-01-28T20:56:35.000Z,animalkingdom
217,Asia,10921,Feathered Friends in Flight!,True,0,2025-01-28T20:56:35.000Z,animalkingdom
217,Asia,112,Kali River Rapids,False,0,2025-01-28T20:56:35.000Z,animalkingdom
218,Dinoland U.S.A,13809,Dino-Sue,True,0,2025-01-28T20:56:35.000Z,animalkingdom
218,Dinoland U.S.A,111,DINOSAUR,True,15,2025-01-28T20:56:35.000Z,animalkingdom
218,Dinoland U.S.A,10920,Finding Nemo: The Big Blue... and Beyond!,True,0,2025-01-28T20:56:35.000Z,animalkingdom
218,Dinoland U.S.A,13810,Fossil Fun Games,False,0,2025-01-24T12:06:15.000Z,animalkingdom
218,Dinoland U.S.A,652,The Boneyard,True,0,2025-01-28T20:56:35.000Z,animalkingdom
218,Dinoland U.S.A,115,TriceraTop Spin,False,0,2025-01-24T12:06:15.000Z,animalkingdom
219,Discovery Island,13811,Discovery Island Trails,True,0,2025-01-28T20:56:35.000Z,animalkingdom
219,Discovery Island,249,It's Tough to be a Bug!,True,10,2025-01-28T20:56:35.000Z,animalkingdom
219,Discovery Island,116,Meet Favorite Disney Pals at Adventurers Outpost,True,45,2025-01-28T20:56:35.000Z,animalkingdom
